user,follower,follower_count,friends_count
57082583,128497985,846,880
57082583,716335905989070848,60,234
57082583,232653735,648,1345
57082583,2949971999,759,1183
57082583,30054551,1036,4528
57082583,1312384501696409600,41,1163
57082583,1148630562975993856,119,2363
57082583,4103765812,2301,1458
57082583,2211252408,202,1670
57082583,1257733645277769735,1522,3888
57082583,1196407913302122496,630,158
57082583,1607359658,18,1100
57082583,1217118984,1658,4275
57082583,95083618,812,1433
57082583,16538343,1491,4383
57082583,26476378,2459,3853
57082583,218174156,1571,1514
57082583,201346529,422,1782
57082583,2353762944,555,1262
57082583,912269772,9,320
57082583,1079397109554503681,4174,769
57082583,3081050671,16,126
57082583,893005905167560704,416,1105
57082583,2161232472,3477,4999
57082583,1283523997041336321,70,215
57082583,16574411,78,815
57082583,914522034,2132,2165
57082583,1165255792175517702,60,129
57082583,122495507,377,1521
57082583,896474155687657472,47,139
57082583,1460062934,1149,474
57082583,23761309,666,1337
57082583,2246014224,583,1210
57082583,1047549426,1067,771
57082583,2717076834,3698,1396
57082583,1004741861368623104,173,158
57082583,76547015,1119,5001
