"date","supply","stock"
1978-03-01,56,56957
1978-04-01,238,57195
1978-05-01,347,57542
1978-06-01,15,57557
1978-09-01,40,57597
1978-10-01,529,58126
1978-12-01,97,58223
1979-01-01,198,58421
1979-02-01,39,58460
1979-03-01,11,58471
1979-04-01,8,58479
1979-05-01,299,58778
1979-06-01,3,58781
1979-09-01,5,58786
1979-10-01,153,58939
1979-11-01,1,58940
1979-12-01,392,59332
1980-01-01,112,59444
1980-02-01,92,59536
1980-03-01,63,59599
1980-04-01,31,59630
1980-05-01,44,59674
1980-08-01,25,59699
1980-10-01,245,59944
1980-11-01,9,59953
1980-12-01,34,59987
1981-01-01,72,60059
1981-02-01,288,60347
1981-03-01,6,60353
1981-04-01,138,60491
1981-05-01,147,60638
1981-10-01,287,60925
1981-11-01,58,60983
1981-12-01,353,61336
1982-01-01,79,61415
1982-03-01,77,61492
1982-04-01,12,61504
1982-05-01,335,61839
1982-06-01,18,61857
1982-10-01,295,62152
1982-11-01,27,62179
1983-01-01,356,62535
1983-02-01,33,62568
1983-03-01,175,62743
1983-04-01,6,62749
1983-05-01,281,63030
1983-06-01,6,63036
1983-07-01,3,63039
1983-09-01,90,63129
1983-10-01,15,63144
1983-11-01,218,63362
1983-12-01,1,63363
1984-01-01,45,63408
1984-02-01,74,63482
1984-03-01,48,63530
1984-04-01,48,63578
1984-05-01,87,63665
1984-06-01,4,63669
1984-07-01,13,63682
1984-09-01,43,63725
1984-10-01,253,63978
1984-11-01,66,64044
1984-12-01,191,64235
1985-01-01,130,64365
1985-02-01,1,64366
1985-03-01,98,64464
1985-04-01,13,64477
1985-05-01,30,64507
1985-06-01,224,64731
1985-09-01,150,64881
1985-10-01,286,65167
1985-11-01,112,65279
1985-12-01,6,65285
1986-01-01,334,65619
1986-02-01,22,65641
1986-03-01,29,65670
1986-04-01,7,65677
1986-05-01,289,65966
1986-06-01,1,65967
1986-07-01,1,65968
1986-08-01,3,65971
1986-09-01,2,65973
1986-10-01,241,66214
1986-11-01,5,66219
1986-12-01,85,66304
1987-01-01,314,66618
1987-02-01,41,66659
1987-04-01,52,66711
1987-05-01,264,66975
1987-07-01,15,66990
1987-09-01,27,67017
1987-10-01,289,67306
1987-11-01,91,67397
1987-12-01,176,67573
1988-01-01,270,67843
1988-02-01,58,67901
1988-03-01,57,67958
1988-04-01,50,68008
1988-05-01,183,68191
1988-06-01,20,68211
1988-07-01,2,68213
1988-08-01,2,68215
1988-09-01,9,68224
1988-10-01,278,68502
1988-11-01,26,68528
1988-12-01,61,68589
1989-01-01,94,68683
1989-02-01,4,68687
1989-03-01,99,68786
1989-05-01,156,68942
1989-06-01,186,69128
1989-07-01,2,69130
1989-10-01,208,69338
1989-11-01,73,69411
1989-12-01,52,69463
1990-01-01,175,69638
1990-03-01,6,69644
1990-04-01,8,69652
1990-05-01,426,70078
1990-06-01,100,70178
1990-09-01,9,70187
1990-10-01,348,70535
1990-12-01,183,70718
1991-01-01,224,70942
1991-02-01,17,70959
1991-03-01,29,70988
1991-04-01,33,71021
1991-05-01,102,71123
1991-06-01,106,71229
1991-07-01,2,71231
1991-08-01,1,71232
1991-10-01,260,71492
1991-11-01,2,71494
1991-12-01,51,71545
1992-01-01,372,71917
1992-02-01,12,71929
1992-03-01,2,71931
1992-04-01,33,71964
1992-05-01,322,72286
1992-06-01,98,72384
1992-07-01,1,72385
1992-10-01,140,72525
1992-11-01,188,72713
1992-12-01,32,72745
1993-01-01,313,73058
1993-03-01,125,73183
1993-05-01,166,73349
1993-06-01,80,73429
1993-07-01,1,73430
1993-08-01,1,73431
1993-09-01,11,73442
1993-10-01,84,73526
1993-11-01,466,73992
1993-12-01,23,74015
1994-01-01,261,74276
1994-03-01,47,74323
1994-04-01,4,74327
1994-05-01,140,74467
1994-06-01,92,74559
1994-07-01,5,74564
1994-08-01,6,74570
1994-09-01,83,74653
1994-10-01,90,74743
1994-11-01,130,74873
1994-12-01,81,74954
1995-01-01,132,75086
1995-02-01,6,75092
1995-03-01,25,75117
1995-05-01,75,75192
1995-06-01,500,75692
1995-07-01,7,75699
1995-08-01,4,75703
1995-09-01,15,75718
1995-10-01,9,75727
1995-11-01,99,75826
1995-12-01,103,75929
1996-02-01,3,75932
1996-03-01,174,76106
1996-04-01,105,76211
1996-05-01,87,76298
1996-06-01,105,76403
1996-08-01,1,76404
1996-09-01,140,76544
1996-10-01,79,76623
1996-11-01,211,76834
1996-12-01,64,76898
1997-01-01,50,76948
1997-02-01,9,76957
1997-03-01,138,77095
1997-04-01,34,77129
1997-05-01,188,77317
1997-06-01,59,77376
1997-07-01,61,77437
1997-08-01,1,77438
1997-09-01,2,77440
1997-10-01,159,77599
1997-11-01,200,77799
1997-12-01,41,77840
1998-01-01,13,77853
1998-02-01,17,77870
1998-03-01,405,78275
1998-04-01,150,78425
1998-05-01,82,78507
1998-06-01,177,78684
1998-07-01,1,78685
1998-09-01,11,78696
1998-10-01,76,78772
1998-11-01,52,78824
1998-12-01,276,79100
1999-01-01,5,79105
1999-02-01,40,79145
1999-03-01,237,79382
1999-04-01,5,79387
1999-05-01,389,79776
1999-06-01,107,79883
1999-08-01,11,79894
1999-09-01,3,79897
1999-10-01,100,79997
1999-11-01,138,80135
1999-12-01,756,80891
2000-01-01,144,81035
2000-02-01,23,81058
2000-03-01,181,81239
2000-04-01,32,81271
2000-05-01,63,81334
2000-06-01,12,81346
2000-08-01,17,81363
2000-10-01,1017,82380
2000-11-01,138,82518
2000-12-01,252,82770
2001-01-01,1600,84370
2001-02-01,126,84496
2001-03-01,1,84497
2001-04-01,222,84719
2001-05-01,290,85009
2001-06-01,480,85489
2001-07-01,1,85490
2001-08-01,1,85491
2001-09-01,101,85592
2001-10-01,194,85786
2001-11-01,135,85921
2001-12-01,404,86325
2002-01-01,3,86328
2002-02-01,8,86336
2002-03-01,4,86340
2002-04-01,153,86493
2002-05-01,135,86628
2002-06-01,91,86719
2002-07-01,114,86833
2002-08-01,4,86837
2002-09-01,25,86862
2002-10-01,87,86949
2002-11-01,116,87065
2002-12-01,188,87253
2003-01-01,4,87257
2003-02-01,35,87292
2003-03-01,56,87348
2003-04-01,41,87389
2003-05-01,119,87508
2003-06-01,65,87573
2003-07-01,23,87596
2003-09-01,1,87597
2003-10-01,161,87758
2003-11-01,66,87824
2003-12-01,33,87857
2004-01-01,5,87862
2004-02-01,55,87917
2004-03-01,122,88039
2004-04-01,78,88117
2004-05-01,203,88320
2004-06-01,91,88411
2004-07-01,12,88423
2004-08-01,2,88425
2004-09-01,2,88427
2004-10-01,175,88602
2004-11-01,2,88604
2004-12-01,18,88622
2005-01-01,68,88690
2005-02-01,147,88837
2005-03-01,132,88969
2005-04-01,8,88977
2005-05-01,2882,91859
2005-06-01,330,92189
2005-07-01,118,92307
2005-08-01,18,92325
2005-09-01,11,92336
2005-10-01,341,92677
2005-11-01,5,92682
2005-12-01,20,92702
2006-01-01,78,92780
2006-02-01,259,93039
2006-03-01,214,93253
2006-04-01,19,93272
2006-05-01,231,93503
2006-06-01,553,94056
2006-07-01,5,94061
2006-08-01,2,94063
2006-09-01,11,94074
2006-10-01,164,94238
2006-11-01,128,94366
2006-12-01,16,94382
2007-01-01,5,94387
2007-02-01,101,94488
2007-03-01,100,94588
2007-04-01,211,94799
2007-05-01,96,94895
2007-06-01,190,95085
2007-07-01,5,95090
2007-09-01,22,95112
2007-10-01,389,95501
2007-11-01,807,96308
2007-12-01,296,96604
2008-02-01,191,96795
2008-03-01,441,97236
2008-04-01,38,97274
2008-05-01,187,97461
2008-06-01,727,98188
2008-07-01,9,98197
2008-10-01,5088,103285
2008-11-01,249,103534
2008-12-01,37,103571
2009-01-01,115,103686
2009-02-01,185,103871
2009-03-01,15,103886
2009-04-01,261,104147
2009-05-01,163,104310
2009-09-01,69,104379
2009-10-01,257,104636
2009-11-01,529,105165
2009-12-01,9,105174
2010-01-01,1,105175
2010-02-01,104,105279
2010-03-01,164,105443
2010-05-01,131,105574
2010-06-01,259,105833
2010-07-01,1,105834
2010-09-01,79,105913
2010-10-01,675,106588
2010-11-01,557,107145
2010-12-01,141,107286
2011-01-01,46,107332
2011-02-01,145,107477
2011-03-01,326,107803
2011-05-01,937,108740
2011-06-01,1,108741
2011-09-01,103,108844
2011-10-01,329,109173
2011-12-01,191,109364
2012-01-01,3,109367
2012-02-01,1090,110457
2012-04-01,551,111008
2012-05-01,264,111272
2012-06-01,236,111508
2012-07-01,1,111509
2012-09-01,12,111521
2012-10-01,1297,112818
2012-11-01,2,112820
2012-12-01,6,112826
2013-01-01,1,112827
2013-02-01,1077,113904
2013-05-01,511,114415
2013-06-01,53,114468
2013-10-01,1524,115992
2013-11-01,28,116020
2013-12-01,31,116051
2014-01-01,2,116053
2014-02-01,377,116430
2014-05-01,835,117265
2014-09-01,10,117275
2014-10-01,1125,118400
2014-12-01,325,118725
2015-01-01,64,118789
2015-02-01,15,118804
2015-03-01,438,119242
2015-04-01,88,119330
2015-05-01,917,120247
2015-06-01,638,120885
2015-10-01,1556,122441
2015-12-01,88,122529
2016-01-01,326,122855
2016-02-01,188,123043
2016-04-01,70,123113
2016-05-01,207,123320
2016-06-01,19,123339
NA,5209,128548
