user,text,created_at
BarackObama,"Our progress on the journey to equality sometimes feels like two steps forward, one step back. But when marriage eq… https://t.co/6ikWpNz7XD",2021-06-26 17:03:02
BarackObama,"As a dad of two daughters, this movie really hit home for me. I'm glad to see it has resonated with so many people. https://t.co/lAD8wtPgDu",2021-06-26 16:03:06
BarackObama,Congratulations to the @CripCampFilm team on their @PeabodyAwards! I could not be prouder of the disability rights… https://t.co/dx1V7tbppR,2021-06-25 18:00:14
BarackObama,"By telling her story, Natoma Canfield helped us pass the Affordable Care Act. She was an inspiration to me and so m… https://t.co/KVc27k0ez9",2021-06-23 14:00:16
BarackObama,"The Senate is preparing to take action on a bill that would strengthen our democracy, but Republican Senators are a… https://t.co/WQte0qWYRf",2021-06-22 21:04:36
BarackObama,"I’m really proud of young men like James and Lazarus who, despite the obstacles they have faced, are raising their… https://t.co/hGPrqFm4HU",2021-06-20 15:02:23
BarackObama,"Now that Juneteenth is a federal holiday, take a minute to learn about Opal Lee—the woman who did more than anyone… https://t.co/6BlKKY4SAu",2021-06-19 15:01:38
BarackObama,"On Monday, I’m joining @EricHolder for a grassroots conversation with @AllOnTheLine to talk about why redistricting… https://t.co/L9t9jYBVK7",2021-06-18 13:05:01
BarackObama,"And because he extended the special enrollment period until August 15th, anyone who needs coverage can go to… https://t.co/bFhZsthpef",2021-06-17 17:29:44
BarackObama,Now we need to build on the Affordable Care Act and continue to strengthen and expand it. That’s what @POTUS Biden… https://t.co/te4IY8eh40,2021-06-17 17:29:44
BarackObama,"The principle of universal coverage has been established, and 31 million people now have access to care through the… https://t.co/JZ9sfSpQUx",2021-06-17 17:29:43
BarackObama,"Today, the Supreme Court upheld the Affordable Care Act. Again. This ruling reaffirms what we have long known to be… https://t.co/td3Ol2Lu45",2021-06-17 17:29:43
BarackObama,"On the ninth anniversary of DACA, I’m thinking about all the brave DREAMers who have stepped forward to tell their… https://t.co/VzkGFDBR6a",2021-06-15 19:35:48
BarackObama,"Happy birthday, Sasha! You’ve grown so much, and it’s been a joy to watch you become the person we always hoped you… https://t.co/afZDfMNWcS",2021-06-10 15:55:42
BarackObama,"It's always great catching up with @POTUS, and I'm grateful for everything he and his administration have done to p… https://t.co/UzIIQSebKf",2021-06-05 17:15:21
BarackObama,"On National Gun Violence Awareness Day, we #wearorange to honor those we’ve lost. As we begin to emerge from the pa… https://t.co/yhZ49ZAmBE",2021-06-04 16:01:05
BarackObama,Coaches like Ernest Radcliffe are changing lives every single day. They understand how sports can help us build rel… https://t.co/aODGvNJYbe,2021-06-03 16:10:11
BarackObama,"Yesterday, I sat down with some of the Obama Presidential Center’s neighbors—local business owners who help hold th… https://t.co/mQ4dsOKv9Z",2021-06-02 19:28:20
BarackObama,Michelle and I are excited to share our latest show from Higher Ground: We The People. Some of our favorite artists… https://t.co/5hXNiFhQrH,2021-06-02 17:23:09
BarackObama,It’s great to be back in my hometown and even better to spend some time with talented young people in Jackson Park.… https://t.co/MESmyb6amb,2021-06-02 00:00:22
BarackObama,".@brhodes has been a close advisor and a good friend for more than a decade. His new book, After the Fall, is a per… https://t.co/Qpx9i9jpSC",2021-06-01 18:00:36
BarackObama,"On the 100th anniversary of the Tulsa Race Massacre, we remember all those who were killed and the survivors who br… https://t.co/Fip0PK4HtU",2021-05-31 17:06:41
