user,follower,follower_count,friends_count,screen_name_follower,screen_name_user
57082583,2400445686,230,114,hanedhinda,tobias_blanke
57082583,717628693,1425,2567,nicholas_till,tobias_blanke
57082583,1269518324,677,968,RoserPujadas1,tobias_blanke
57082583,1129143763845169153,5,282,cats_wolf,tobias_blanke
57082583,3918564203,4107,2981,MullerCatelijne,tobias_blanke
57082583,1181129475926482947,133,330,VincentBptst,tobias_blanke
57082583,794647290791297025,34,203,firatberkk,tobias_blanke
57082583,2969335942,31,96,JenniexWilliams,tobias_blanke
57082583,1010074283702411264,792,466,KCL_CSRG,tobias_blanke
57082583,1052615623795200001,78,1079,JeanSpritzer,tobias_blanke
57082583,1174051426890371084,2076,516,LeitaoMarquesEP,tobias_blanke
57082583,713476622918270976,73,569,Paul_Dunshirn,tobias_blanke
57082583,13253,1176,2487,georgie,tobias_blanke
57082583,17378128,1139,1512,pustovek,tobias_blanke
57082583,1498487264,748,918,ikkibop,tobias_blanke
57082583,15924767,328,335,johedesan,tobias_blanke
57082583,81944514,8,61,gherya,tobias_blanke
57082583,171892955,6826,7502,Quebreda,tobias_blanke
527496778,57082583,19647,89,tobias_blanke,abbey_st
19907166,57082583,19647,89,tobias_blanke,nolauren
14389093,57082583,19647,89,tobias_blanke,jwyg
58492780,57082583,19647,89,tobias_blanke,joshmacfadyen
948243710,57082583,19647,89,tobias_blanke,HxxxKxxx
23067650,57082583,19647,89,tobias_blanke,antalvdb
96736531,57082583,19647,89,tobias_blanke,jjnoordegraaf
1498487264,57082583,19647,89,tobias_blanke,ikkibop
17826845,57082583,19647,89,tobias_blanke,markcote
43039871,57082583,19647,89,tobias_blanke,jrpybus
16100710,57082583,19647,89,tobias_blanke,bb_liliana
15726813,57082583,19647,89,tobias_blanke,cgmsnoek
867312279355871234,57082583,19647,89,tobias_blanke,NoortjeMarres
984351831395569664,57082583,19647,89,tobias_blanke,DatafiedSociety
389562551,57082583,19647,89,tobias_blanke,annliffey
86347253,57082583,19647,89,tobias_blanke,archiveteam
5993652,57082583,19647,89,tobias_blanke,theoaraujo
1155506341554905088,57082583,19647,89,tobias_blanke,securityflows
122405720,57082583,19647,89,tobias_blanke,MartijnKleppe
68746721,57082583,19647,89,tobias_blanke,fchollet
1575907856,57082583,19647,89,tobias_blanke,carobirdsall
4316593949,57082583,19647,89,tobias_blanke,algorithmwatch
1079397109554503681,57082583,19647,89,tobias_blanke,da_loick
31368035,57082583,19647,89,tobias_blanke,bungatuffie
1320998672,57082583,19647,89,tobias_blanke,AoIR_org
216939636,57082583,19647,89,tobias_blanke,AndrewYNg
2815077014,57082583,19647,89,tobias_blanke,chrmanning
334904627,57082583,19647,89,tobias_blanke,igorpianist
1047549426,57082583,19647,89,tobias_blanke,federicarusso
1236996337838718978,57082583,19647,89,tobias_blanke,uva_gdc
1214141657156739072,57082583,19647,89,tobias_blanke,SonjaSmets
446461168,57082583,19647,89,tobias_blanke,mireillemoret
89705228,57082583,19647,89,tobias_blanke,nhelberger
86916436,57082583,19647,89,tobias_blanke,merpeltje
2395986109,57082583,19647,89,tobias_blanke,HuuDijstelbloem
3161280970,57082583,19647,89,tobias_blanke,claesdevreese
3304471,57082583,19647,89,tobias_blanke,mdr
2400445686,57082583,19647,89,tobias_blanke,hanedhinda
29547109,57082583,19647,89,tobias_blanke,SeamusRoss
3918564203,57082583,19647,89,tobias_blanke,MullerCatelijne
1143038206335737856,57082583,19647,89,tobias_blanke,SennayGhebreab
402664998,57082583,19647,89,tobias_blanke,drkatedevlin
713496340941168641,57082583,19647,89,tobias_blanke,sophiehbishop
82443473,57082583,19647,89,tobias_blanke,digitalmethods
17534607,57082583,19647,89,tobias_blanke,richardrogers
76027241,57082583,19647,89,tobias_blanke,RiederB
5692212,57082583,19647,89,tobias_blanke,tpoell
141861732,57082583,19647,89,tobias_blanke,ariannabetti
1041425457877405696,57082583,19647,89,tobias_blanke,SPonzanesi
2242925052,57082583,19647,89,tobias_blanke,LucaVigano68
1960510656,57082583,19647,89,tobias_blanke,wyatt_sally
2789746316,57082583,19647,89,tobias_blanke,deGoede9
867074190058418176,57082583,19647,89,tobias_blanke,medindstudies
64245814,57082583,19647,89,tobias_blanke,sethvanhooland
195361298,57082583,19647,89,tobias_blanke,mirkoschaefer
507212543,57082583,19647,89,tobias_blanke,tcstvns
36331077,57082583,19647,89,tobias_blanke,RLUK_Mike
49715274,57082583,19647,89,tobias_blanke,jfwinters
618981320,57082583,19647,89,tobias_blanke,CendariProject
733092900,57082583,19647,89,tobias_blanke,DARIAHeu
14483372,57082583,19647,89,tobias_blanke,jwjg
61762488,57082583,19647,89,tobias_blanke,christof77
88944075,57082583,19647,89,tobias_blanke,laurentromary
101755795,57082583,19647,89,tobias_blanke,GerhardLauer
1946180785,57082583,19647,89,tobias_blanke,EHRIproject
11293512,57082583,19647,89,tobias_blanke,hcunningham
10161492,57082583,19647,89,tobias_blanke,frederickaplan
807511327,57082583,19647,89,tobias_blanke,hild_de
50122046,57082583,19647,89,tobias_blanke,melissaterras
13521812,57082583,19647,89,tobias_blanke,jimwebber
481089037,57082583,19647,89,tobias_blanke,StuartEDunn
16584600,57082583,19647,89,tobias_blanke,schambers3
61471363,57082583,19647,89,tobias_blanke,kbontcheva
33838201,57082583,19647,89,tobias_blanke,GoogleAI
268192461,57082583,19647,89,tobias_blanke,kingsdh
28080609,57082583,19647,89,tobias_blanke,txtcraigbellamy
45620418,57082583,19647,89,tobias_blanke,Tyler_Handley
173915441,57082583,19647,89,tobias_blanke,DHcenterNet
318588792,57082583,19647,89,tobias_blanke,claudia_aradau
76987524,57082583,19647,89,tobias_blanke,lornamhughes
21996851,57082583,19647,89,tobias_blanke,stevejbrewer
47691811,57082583,19647,89,tobias_blanke,sheilajanderson
5439642,57082583,19647,89,tobias_blanke,tommyh
15598627,57082583,19647,89,tobias_blanke,seth_denbo
55229892,57082583,19647,89,tobias_blanke,torstenreimer
29360785,57082583,19647,89,tobias_blanke,simon_mahony
14073534,57082583,19647,89,tobias_blanke,mhedges
77319148,57082583,19647,89,tobias_blanke,Ben_OLoughlin
28311044,57082583,19647,89,tobias_blanke,agiati
